,title,type,episodes,score,members,favorites,genre,studio,rating,demographic,theme,popularity,source,rank
768,Boogiepop wa Warawanai,TV,12,7.16,"105,322",784,Avant Garde,Madhouse,R+ - Mild Nudity,N/A,Psychological,#1526,Light novel,#3019
769,Date A Live III,TV,12,7.16,"283,139","1,399",Comedy,J.C.Staff,R - 17+ (violence & profanity),N/A,Harem,#602,Light novel,#3020
770,Denpa Onna to Seishun Otoko,TV,12,7.16,"269,187","1,004",Comedy,Shaft,PG-13 - Teens 13 or older,N/A,N/A,#636,Light novel,#3021
771,Detective Conan: The Scarlet Alibi,Movie,1,7.16,"4,511",40,Action,TMS Entertainment,PG-13 - Teens 13 or older,Shounen,Police,#7254,Manga,#3022
772,Devilman: Tanjou-hen,OVA,1,7.16,"24,372",248,Horror,Oh! Production,R+ - Mild Nudity,N/A,Demons,#3607,Manga,#3023
773,Doraemon Movie 17: Nobita to Ginga Express,Movie,1,7.16,"5,503",4,Fantasy,Shin-Ei Animation,PG - Children,N/A,N/A,#6706,Unknown,#3024
774,Doraemon Movie 30: Nobita no Ningyo Daikaisen,Movie,1,7.16,"4,486",2,Adventure,Shin-Ei Animation,PG - Children,N/A,N/A,#7291,Manga,#3025
775,Fairy Tail x Rave,OVA,1,7.16,"112,304",205,Action,Satelight,PG-13 - Teens 13 or older,Shounen,N/A,#1442,Manga,#3026
776,Fushigi Yuugi OVA,OVA,3,7.16,"20,901",50,Adventure,Studio Pierrot,PG-13 - Teens 13 or older,Shoujo,Historical,#3883,Manga,#3027
777,Galaxy Angel 3 Specials,Special,2,7.16,"3,392",2,Comedy,add some,PG - Children,N/A,N/A,#8012,Unknown,#3028
778,Hayate no Gotoku! Heaven Is a Place on Earth,Movie,1,7.16,"34,161",29,Comedy,Manglobe,PG-13 - Teens 13 or older,Shounen,Harem,#3036,Manga,#3029
779,HeatGuy J,TV,25,7.16,"16,398",60,Action,Satelight,PG-13 - Teens 13 or older,N/A,Mecha,#4326,Original,#3030
780,Hi no Ame ga Furu,Movie,1,7.16,"1,422",2,Drama,Mushi Production,G - All Ages,N/A,Historical,#10218,Unknown,#3031
781,K: Seven Stories Movie 6 - Circle Vision - Nameless Song,Movie,1,7.16,"16,136",16,Action,GoHands,PG-13 - Teens 13 or older,N/A,Super Power,#4353,Original,#3032
782,Koukyoushihen Eureka Seven: Pocket ga Niji de Ippai,Movie,1,7.16,"42,610",97,Adventure,Bones,PG-13 - Teens 13 or older,N/A,Mecha,#2680,Original,#3033
783,Kuroko no Basket: Oshaberi Shiyou ka,Special,1,7.16,"13,166",6,Comedy,Production I.G,PG-13 - Teens 13 or older,Shounen,School,#4694,Manga,#3034
784,Kyoukai no Rinne (TV) 2nd Season,TV,25,7.16,"31,405",31,Comedy,Brain's Base,PG-13 - Teens 13 or older,Shounen,School,#3180,Manga,#3035
785,Kyousou Giga (2012),ONA,5,7.16,"25,470",31,Action,Toei Animation,PG-13 - Teens 13 or older,N/A,N/A,#3531,Original,#3036
786,Lady Georgie,TV,45,7.16,"8,453",50,Drama,Tokyo Movie Shinsha,PG-13 - Teens 13 or older,Shoujo,Historical,#5630,Manga,#3037
787,Ling Jian Zun 3rd Season,ONA,40,7.16,"1,488",3,Action,Soyep,PG-13 - Teens 13 or older,N/A,Martial Arts,#10129,Novel,#3038
788,Lupin III: Dead or Alive,Movie,1,7.16,"9,516",3,Action,Tokyo Movie Shinsha,PG-13 - Teens 13 or older,Seinen,N/A,#5357,Manga,#3039
789,Mahoromatic: Motto Utsukushii Mono,TV,14,7.16,"29,714",38,Comedy,Gainax,R+ - Mild Nudity,N/A,Military,#3268,Manga,#3040
790,Mahou Senshi Louie,TV,24,7.16,"19,035",65,Adventure,J.C.Staff,PG-13 - Teens 13 or older,Shounen,N/A,#4030,Light novel,#3041
791,Mouretsu Pirates,TV,26,7.16,"68,309",271,Sci-Fi,Satelight,PG-13 - Teens 13 or older,N/A,Space,#2061,Light novel,#3042
792,Mudai,Music,1,7.16,"4,486",15,Drama,add some,PG-13 - Teens 13 or older,N/A,Music,#7269,Original,#3043
793,Myself; Yourself,TV,13,7.16,"172,386",757,Drama,Doga Kobo,PG-13 - Teens 13 or older,N/A,School,#1003,Visual novel,#3044
794,Nanatsu no Taizai Movie 1: Tenkuu no Torawarebito,Movie,1,7.16,"236,940",297,Action,A-1 Pictures,PG-13 - Teens 13 or older,Shounen,N/A,#737,Manga,#3045
