,title,type,episodes,score,members,favorites,genre,studio,rating,demographic,theme,popularity,source,rank
0,Fullmetal Alchemist: Brotherhood,TV,64,9.16,"2,633,937","186,616",Action,Bones,R - 17+ (violence & profanity),Shounen,Military,#3,Manga,#1
1,Shingeki no Kyojin Season 3 Part 2,TV,10,9.10,"1,549,705","44,111",Action,Wit Studio,R - 17+ (violence & profanity),Shounen,Military,#34,Manga,#2
2,Steins;Gate,TV,24,9.10,"2,059,997","158,181",Drama,White Fox,PG-13 - Teens 13 or older,N/A,Psychological,#11,Visual novel,#3
3,Gintama°,TV,51,9.09,"473,517","12,371",Action,Bandai Namco Pictures,PG-13 - Teens 13 or older,Shounen,Historical,#338,Manga,#4
4,Fruits Basket: The Final,TV,13,9.08,"260,523","11,907",Comedy,TMS Entertainment,PG-13 - Teens 13 or older,Shoujo,N/A,#666,Manga,#5
5,Gintama',TV,51,9.06,"422,165","6,356",Action,Sunrise,PG-13 - Teens 13 or older,Shounen,Historical,#383,Manga,#6
6,Hunter x Hunter (2011),TV,148,9.06,"2,105,459","162,485",Action,Madhouse,PG-13 - Teens 13 or older,Shounen,Super Power,#10,Manga,#7
7,Ginga Eiyuu Densetsu,OVA,110,9.05,"259,639","13,591",Drama,K-Factory,R - 17+ (violence & profanity),N/A,Military,#671,Novel,#8
8,Gintama': Enchousen,TV,13,9.04,"256,739","2,531",Action,Sunrise,PG-13 - Teens 13 or older,Shounen,Historical,#678,Manga,#9
9,Gintama: The Final,Movie,1,9.00,"75,102","2,706",Action,Bandai Namco Pictures,PG-13 - Teens 13 or older,Shounen,Historical,#1940,Manga,#10
10,Gintama.,TV,12,8.99,"241,389","2,290",Action,Bandai Namco Pictures,PG-13 - Teens 13 or older,Shounen,Historical,#719,Manga,#11
11,3-gatsu no Lion 2nd Season,TV,22,8.98,"318,676","12,752",Drama,Shaft,PG-13 - Teens 13 or older,Seinen,Game,#524,Manga,#12
12,Koe no Katachi,Movie,1,8.97,"1,740,500","66,734",Drama,Kyoto Animation,PG-13 - Teens 13 or older,Shounen,School,#23,Manga,#13
13,Clannad: After Story,TV,24,8.95,"1,014,271","63,191",Comedy,Kyoto Animation,PG-13 - Teens 13 or older,N/A,N/A,#97,Visual novel,#14
14,Gintama,TV,201,8.95,"872,715","50,543",Action,Sunrise,PG-13 - Teens 13 or older,Shounen,Historical,#123,Manga,#15
15,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,8.94,"193,037","1,922",Action,Sunrise,PG-13 - Teens 13 or older,Shounen,Historical,#913,Manga,#16
16,Shingeki no Kyojin: The Final Season,TV,16,8.92,"1,301,864","47,318",Action,MAPPA,R - 17+ (violence & profanity),Shounen,Military,#58,Manga,#17
17,Owarimonogatari 2nd Season,TV,7,8.91,"317,960","7,183",Comedy,Shaft,R - 17+ (violence & profanity),N/A,Vampire,#527,Light novel,#18
18,Code Geass: Hangyaku no Lelouch R2,TV,25,8.91,"1,448,093","66,031",Action,Sunrise,R - 17+ (violence & profanity),N/A,Mecha,#46,Original,#19
19,Kimi no Na wa.,Movie,1,8.90,"2,120,694","74,554",Drama,CoMix Wave Films,PG-13 - Teens 13 or older,N/A,School,#9,Original,#20
20,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14,8.88,"143,177",878,Action,Bandai Namco Pictures,PG-13 - Teens 13 or older,Shounen,Historical,#1208,Manga,#21
21,Shiguang Dailiren,ONA,11,8.87,"116,061","3,596",Drama,Studio LAN,PG-13 - Teens 13 or older,N/A,N/A,#1413,Original,#22
22,Violet Evergarden Movie,Movie,1,8.87,"309,557","2,694",Drama,Kyoto Animation,PG-13 - Teens 13 or older,N/A,N/A,#547,Light novel,#23
23,Mob Psycho 100 II,TV,13,8.82,"1,072,440","24,403",Action,Bones,PG-13 - Teens 13 or older,N/A,N/A,#88,Web manga,#24
24,Gintama.: Shirogane no Tamashii-hen,TV,12,8.82,"156,350",990,Action,Bandai Namco Pictures,PG-13 - Teens 13 or older,Shounen,Historical,#1117,Manga,#25
25,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,8.81,"919,489","13,286",Comedy,Production I.G,PG-13 - Teens 13 or older,Shounen,School,#114,Manga,#26
26,Kizumonogatari III: Reiketsu-hen,Movie,1,8.81,"364,934","5,830",Action,Shaft,R - 17+ (violence & profanity),N/A,Vampire,#447,Light novel,#27
27,Monster,TV,74,8.80,"748,581","31,983",Drama,Madhouse,R+ - Mild Nudity,Seinen,Police,#159,Manga,#28
28,Odd Taxi,TV,13,8.80,"189,745","3,763",Mystery,OLM,PG-13 - Teens 13 or older,N/A,N/A,#926,Original,#29
29,Sen to Chihiro no Kamikakushi,Movie,1,8.80,"1,466,669","25,588",Adventure,Studio Ghibli,PG - Children,N/A,N/A,#42,Original,#30
30,Monogatari Series: Second Season,TV,26,8.78,"569,703","21,147",Comedy,Shaft,R - 17+ (violence & profanity),N/A,Vampire,#255,Light novel,#31
31,Cowboy Bebop,TV,26,8.77,"1,452,554","63,689",Action,Sunrise,R - 17+ (violence & profanity),N/A,Space,#45,Original,#32
32,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,1,8.76,"221,059","5,360",Action,ufotable,R - 17+ (violence & profanity),N/A,N/A,#795,Visual novel,#33
33,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,8.76,"157,666","2,714",Drama,Studio Deen,PG-13 - Teens 13 or older,Josei,Historical,#1098,Manga,#34
34,Mushishi Zoku Shou 2nd Season,TV,10,8.75,"221,282","1,188",Adventure,Artland,PG-13 - Teens 13 or older,Seinen,Historical,#788,Manga,#35
35,Hajime no Ippo,TV,75,8.74,"437,692","15,982",Comedy,Madhouse,PG-13 - Teens 13 or older,Shounen,N/A,#364,Manga,#36
36,Jujutsu Kaisen (TV),TV,24,8.74,"1,463,547","54,605",Action,MAPPA,R - 17+ (violence & profanity),Shounen,Demons,#43,Manga,#37
37,Vinland Saga,TV,24,8.73,"924,511","25,371",Action,Wit Studio,R - 17+ (violence & profanity),Seinen,Historical,#113,Manga,#38
38,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,8.72,"244,111","5,579",Action,Studio Deen,R - 17+ (violence & profanity),Shounen,Historical,#711,Manga,#39
39,Evangelion: 3.0+1.0 Thrice Upon a Time,Movie,1,8.72,"232,200","3,626",Action,Khara,PG-13 - Teens 13 or older,N/A,Mecha,#770,Original,#40
40,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,1,8.72,"827,299","9,119",Action,ufotable,R - 17+ (violence & profanity),Shounen,Demons,#134,Manga,#41
41,Code Geass: Hangyaku no Lelouch,TV,25,8.71,"1,828,695","92,249",Action,Sunrise,R - 17+ (violence & profanity),N/A,Mecha,#17,Original,#42
42,Mushishi Zoku Shou,TV,10,8.71,"251,959","1,319",Adventure,Artland,PG-13 - Teens 13 or older,Seinen,Historical,#686,Manga,#43
43,Made in Abyss,TV,13,8.70,"1,019,397","33,150",Adventure,Kinema Citrus,R - 17+ (violence & profanity),N/A,N/A,#94,Web manga,#44
44,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,1,8.70,"276,233","2,068",Adventure,Kinema Citrus,R - 17+ (violence & profanity),N/A,N/A,#615,Web manga,#45
45,Great Teacher Onizuka,TV,43,8.69,"667,449","21,375",Comedy,Studio Pierrot,R - 17+ (violence & profanity),Shounen,School,#199,Manga,#46
46,Mononoke Hime,Movie,1,8.69,"1,003,713","17,010",Action,Studio Ghibli,PG-13 - Teens 13 or older,N/A,N/A,#99,Original,#47
47,Shigatsu wa Kimi no Uso,TV,22,8.69,"1,750,145","73,253",Drama,A-1 Pictures,PG-13 - Teens 13 or older,Shounen,Music,#22,Manga,#48
48,Mushishi,TV,26,8.68,"690,569","23,214",Adventure,Artland,PG-13 - Teens 13 or older,Seinen,Historical,#184,Manga,#49
49,Ashita no Joe 2,TV,47,8.68,"36,372","1,757",Action,Tokyo Movie Shinsha,PG-13 - Teens 13 or older,Shounen,N/A,#2938,Manga,#50
50,Tokyo Revengers,TV,24,8.33,"650,734","15,247",Action,LIDENFILMS,R - 17+ (violence & profanity),Shounen,School,#214,Manga,#201
51,Boku dake ga Inai Machi,TV,12,8.33,"1,654,580","39,780",Mystery,A-1 Pictures,R - 17+ (violence & profanity),Seinen,Psychological,#30,Manga,#202
52,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,8.33,"703,949","7,964",Action,ufotable,R - 17+ (violence & profanity),N/A,N/A,#174,Visual novel,#203
53,Hotarubi no Mori e,Movie,1,8.33,"666,933","8,761",Drama,Brain's Base,G - All Ages,Shoujo,N/A,#201,Manga,#204
54,Doukyuusei (Movie),Movie,1,8.32,"201,727","4,576",Boys Love,A-1 Pictures,PG-13 - Teens 13 or older,N/A,School,#869,Manga,#205
55,Hunter x Hunter: Original Video Animation,OVA,8,8.32,"110,275",344,Action,Nippon Animation,PG-13 - Teens 13 or older,Shounen,Super Power,#1464,Manga,#206
56,Luo Xiao Hei Zhan Ji (Movie),Movie,1,8.32,"12,215",176,Adventure,add some,G - All Ages,N/A,N/A,#4864,Original,#207
57,Major: World Series,OVA,2,8.32,"31,991",91,Comedy,SynergySP,PG-13 - Teens 13 or older,Shounen,N/A,#3146,Manga,#208
58,Natsume Yuujinchou,TV,13,8.32,"452,645","13,637",Drama,Brain's Base,PG-13 - Teens 13 or older,Shoujo,Demons,#353,Manga,#209
59,NHK ni Youkoso!,TV,24,8.32,"604,029","21,795",Comedy,Gonzo,R+ - Mild Nudity,N/A,Psychological,#236,Novel,#210
60,Shelter (Music),Music,1,8.32,"292,266","2,294",Sci-Fi,A-1 Pictures,G - All Ages,N/A,Music,#576,Music,#211
61,Shinsekai yori,TV,25,8.32,"673,722","20,452",Drama,A-1 Pictures,R - 17+ (violence & profanity),N/A,Psychological,#197,Novel,#212
62,Shirobako,TV,24,8.32,"386,900","5,909",Comedy,P.A. Works,PG-13 - Teens 13 or older,N/A,N/A,#422,Original,#213
63,Tensei shitara Slime Datta Ken 2nd Season Part 2,TV,12,8.32,"382,887","7,066",Action,8bit,PG-13 - Teens 13 or older,N/A,Demons,#427,Manga,#214
64,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13,8.31,"1,261,999","36,459",Comedy,CloverWorks,PG-13 - Teens 13 or older,N/A,School,#62,Light novel,#215
65,Steins;Gate: Oukoubakko no Poriomania,Special,1,8.31,"375,178",726,Comedy,White Fox,PG-13 - Teens 13 or older,N/A,N/A,#436,Visual novel,#216
66,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Special,1,8.31,"230,870",534,Drama,Kyoto Animation,PG-13 - Teens 13 or older,N/A,N/A,#763,Light novel,#217
67,Yoru Ni Kakeru,Music,1,8.31,"4,925",35,Music,add some,PG-13 - Teens 13 or older,N/A,Music,#7048,Other,#218
68,Diamond no Ace: Second Season,TV,51,8.31,"113,278",924,Comedy,Production I.G,PG-13 - Teens 13 or older,Shounen,School,#1434,Manga,#219
69,Dr. Stone,TV,24,8.31,"1,261,137","20,802",Adventure,TMS Entertainment,PG-13 - Teens 13 or older,Shounen,N/A,#63,Manga,#220
70,Fate/Zero,TV,13,8.31,"1,251,575","30,447",Action,ufotable,R - 17+ (violence & profanity),N/A,N/A,#66,Light novel,#221
71,Kawaki wo Ameku,Music,1,8.31,"21,453",179,Music,add some,PG-13 - Teens 13 or older,N/A,Music,#3838,Music,#222
72,Kino no Tabi: The Beautiful World,TV,13,8.31,"252,034","5,811",Action,A.C.G.T.,R - 17+ (violence & profanity),N/A,Psychological,#689,Light novel,#223
73,Kuroko no Basket 3rd Season,TV,25,8.31,"600,905","4,390",Comedy,Production I.G,PG-13 - Teens 13 or older,Shounen,School,#238,Manga,#224
74,Bakemono no Ko,Movie,1,8.30,"347,863","2,706",Adventure,Studio Chizu,PG-13 - Teens 13 or older,N/A,N/A,#476,Original,#225
75,Beck,TV,26,8.30,"284,971","7,212",Comedy,Madhouse,R - 17+ (violence & profanity),Shounen,Music,#597,Manga,#226
76,Detective Conan Movie 06: The Phantom of Baker Street,Movie,1,8.30,"64,987",194,Adventure,TMS Entertainment,PG-13 - Teens 13 or older,Shounen,Police,#2136,Manga,#227
77,Douluo Dalu: Xingdou Xian Ji Pian,ONA,13,8.30,"3,566",23,Action,Sparkly Key Animation Studio,PG-13 - Teens 13 or older,N/A,Historical,#7910,Novel,#228
78,Great Pretender,TV,23,8.30,"440,811","6,946",Action,Wit Studio,R - 17+ (violence & profanity),N/A,Psychological,#362,Original,#229
79,Hibike! Euphonium 2,TV,13,8.30,"185,874","2,810",Drama,Kyoto Animation,PG-13 - Teens 13 or older,N/A,Music,#948,Novel,#230
80,IDOLiSH7: Third Beat!,TV,13,8.30,"11,088",172,Drama,TROYCA,PG-13 - Teens 13 or older,N/A,Music,#5037,Game,#231
81,Nodame Cantabile,TV,23,8.30,"279,299","4,720",Comedy,J.C.Staff,PG-13 - Teens 13 or older,Josei,Music,#607,Manga,#232
82,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94,8.30,"422,877","9,006",Action,Gallop,PG-13 - Teens 13 or older,Shounen,Historical,#378,Manga,#233
83,Tsubasa: Tokyo Revelations,OVA,3,8.30,"86,028",799,Action,Production I.G,R - 17+ (violence & profanity),Shounen,N/A,#1782,Manga,#234
84,Planetes,TV,26,8.29,"212,882","3,515",Drama,Sunrise,PG-13 - Teens 13 or older,Seinen,Space,#820,Manga,#235
85,Redline,Movie,1,8.29,"298,655","4,315",Action,Madhouse,R+ - Mild Nudity,N/A,Cars,#562,Original,#236
86,Stranger: Mukou Hadan,Movie,1,8.29,"285,039","2,662",Action,Bones,R - 17+ (violence & profanity),N/A,Historical,#596,Original,#237
87,Tokyo Godfathers,Movie,1,8.29,"225,032","1,792",Comedy,Madhouse,PG-13 - Teens 13 or older,N/A,N/A,#780,Original,#238
88,Initial D First Stage,TV,26,8.29,"273,604","8,038",Action,Gallop,PG-13 - Teens 13 or older,Seinen,Cars,#622,Manga,#239
89,Kono Subarashii Sekai ni Shukufuku wo! 2,TV,10,8.29,"1,188,985","10,668",Adventure,Studio Deen,PG-13 - Teens 13 or older,N/A,Parody,#77,Light novel,#240
90,Koukaku Kidoutai,Movie,1,8.29,"515,093","10,284",Action,Production I.G,R+ - Mild Nudity,Seinen,Mecha,#310,Manga,#241
91,Ashita no Joe,TV,79,8.28,"67,272","1,493",Action,Mushi Production,PG-13 - Teens 13 or older,Shounen,N/A,#2086,Manga,#242
92,Douluo Dalu: Haishen Zhi Guang,ONA,13,8.28,"3,244",32,Action,Sparkly Key Animation Studio,PG-13 - Teens 13 or older,N/A,Historical,#8145,Novel,#243
93,Douluo Dalu: Hanhai Qian Kun,ONA,13,8.28,"3,180",15,Action,Sparkly Key Animation Studio,PG-13 - Teens 13 or older,N/A,Historical,#8195,Novel,#244
94,Gin no Saji 2nd Season,TV,11,8.28,"128,836",602,Comedy,A-1 Pictures,PG-13 - Teens 13 or older,Shounen,School,#1314,Manga,#245
95,Gintama: Shinyaku Benizakura-hen,Special,1,8.28,"35,794",44,Action,Sunrise,PG-13 - Teens 13 or older,Shounen,Historical,#2964,Manga,#246
96,Gyakkyou Burai Kaiji: Ultimate Survivor,TV,26,8.28,"278,183","8,172",Suspense,Madhouse,R - 17+ (violence & profanity),Seinen,Game,#610,Manga,#247
97,Hajime no Ippo: Champion Road,Special,1,8.28,"107,380",183,Comedy,Madhouse,PG-13 - Teens 13 or older,Shounen,N/A,#1496,Manga,#248
98,Tenkuu no Shiro Laputa,Movie,1,8.28,"384,642","3,243",Adventure,Studio Ghibli,PG - Children,N/A,N/A,#426,Original,#249
99,Quanzhi Gaoshou Specials,ONA,3,8.27,"88,690",320,Action,Tencent Animation & Comics,PG-13 - Teens 13 or older,N/A,Game,#1748,Novel,#250
100,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",OVA,1,8.12,"49,081",136,Comedy,TMS Entertainment,PG-13 - Teens 13 or older,Shoujo,Demons,#2500,Manga,#401
101,Kanata no Astra,TV,12,8.12,"236,856","2,556",Adventure,Lerche,PG-13 - Teens 13 or older,Shounen,Space,#736,Manga,#402
102,Kuragehime,TV,11,8.12,"200,154","3,874",Comedy,Brain's Base,PG-13 - Teens 13 or older,Josei,N/A,#875,Manga,#403
103,Mairimashita! Iruma-kun 2nd Season,TV,21,8.12,"168,157","1,649",Comedy,Bandai Namco Pictures,PG-13 - Teens 13 or older,Shounen,Demons,#1017,Manga,#404
104,Tsubasa: Shunraiki,OVA,2,8.12,"57,284",249,Action,Production I.G,R - 17+ (violence & profanity),Shounen,N/A,#2291,Unknown,#405
105,Tsuki ga Kirei,TV,12,8.12,"428,964","6,726",Romance,feel.,PG-13 - Teens 13 or older,N/A,School,#369,Original,#406
106,Tsukimonogatari,TV,4,8.12,"356,942",877,Comedy,Shaft,R - 17+ (violence & profanity),N/A,N/A,#461,Light novel,#407
107,Uchouten Kazoku 2,TV,12,8.12,"55,422",247,Comedy,P.A. Works,PG-13 - Teens 13 or older,N/A,Demons,#2344,Novel,#408
108,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,ONA,6,8.11,"156,683",343,Comedy,J.C.Staff,PG-13 - Teens 13 or older,Shounen,School,#1112,Manga,#409
109,Tamayura: Sotsugyou Shashin Part 4 - Ashita,Movie,1,8.11,"9,072",61,Comedy,TYO Animations,G - All Ages,N/A,N/A,#5467,Original,#410
110,Tensei shitara Slime Datta Ken,TV,24,8.11,"997,374","18,651",Action,8bit,PG-13 - Teens 13 or older,N/A,Demons,#101,Manga,#411
111,Yuukoku no Moriarty,TV,11,8.11,"261,613","3,552",Mystery,Production I.G,R - 17+ (violence & profanity),Shounen,Historical,#667,Manga,#412
112,Zankyou no Terror,TV,11,8.11,"942,920","18,553",Mystery,MAPPA,R - 17+ (violence & profanity),N/A,Psychological,#108,Original,#413
113,Ansatsu Kyoushitsu,TV,22,8.11,"1,553,478","24,054",Action,Lerche,PG-13 - Teens 13 or older,Shounen,School,#33,Manga,#414
114,Diamond no Ace,TV,75,8.11,"203,123","3,831",Comedy,Production I.G,PG-13 - Teens 13 or older,Shounen,School,#857,Manga,#415
115,Fate/Grand Carnival,OVA,4,8.11,"31,776",204,Comedy,Lerche,PG-13 - Teens 13 or older,N/A,N/A,#3156,Game,#416
116,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,Movie,1,8.11,"28,808",44,Action,Kitty Films,PG-13 - Teens 13 or older,N/A,Military,#3318,Novel,#417
117,Angel Beats!,TV,13,8.10,"1,781,791","44,587",Action,P.A. Works,PG-13 - Teens 13 or older,N/A,School,#19,Original,#418
118,Gin no Saji,TV,11,8.10,"251,892","2,497",Comedy,A-1 Pictures,PG-13 - Teens 13 or older,Shounen,School,#688,Manga,#419
119,Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,Special,1,8.10,"33,623",58,Action,Sunrise,PG-13 - Teens 13 or older,Shounen,Historical,#3067,Manga,#420
120,Hololive Alternative,ONA,1,8.10,"4,173",41,Music,Hololive Production,G - All Ages,N/A,Music,#7521,Other,#421
121,Karakai Jouzu no Takagi-san 2,TV,12,8.10,"231,757","2,027",Comedy,Shin-Ei Animation,PG-13 - Teens 13 or older,Shounen,School,#757,Manga,#422
122,Kaze Tachinu,Movie,1,8.10,"246,335","2,175",Drama,Studio Ghibli,PG-13 - Teens 13 or older,N/A,Historical,#704,Manga,#423
123,Kuroko no Basket,TV,25,8.10,"960,403","18,372",Comedy,Production I.G,PG-13 - Teens 13 or older,Shounen,School,#107,Manga,#424
124,Kuroko no Basket: Saikou no Present Desu,Special,1,8.10,"81,188",157,Action,Production I.G,PG-13 - Teens 13 or older,Shounen,School,#1854,Manga,#425
125,Mobile Suit Gundam 00 Second Season,TV,25,8.10,"133,755","1,270",Action,Sunrise,R - 17+ (violence & profanity),N/A,Mecha,#1280,Original,#426
126,Mobile Suit Gundam: The Origin - Advent of the Red Comet,TV,13,8.10,"14,247",65,Action,Sunrise,PG-13 - Teens 13 or older,Shounen,Mecha,#4557,Manga,#427
127,Ramayana: The Legend of Prince Rama,Movie,1,8.10,"4,747",69,Adventure,Nippon Ramayana Film Co.,G - All Ages,N/A,N/A,#7109,Other,#428
128,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,OVA,13,8.10,"64,857",294,Action,TMS Entertainment,PG-13 - Teens 13 or older,Shounen,Martial Arts,#2140,Manga,#429
129,Skip Beat!,TV,25,8.10,"236,524","4,740",Comedy,Hal Film Maker,PG-13 - Teens 13 or older,Shoujo,N/A,#739,Manga,#430
130,Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,Movie,1,8.09,"22,718",82,Drama,Shuka,PG-13 - Teens 13 or older,Shoujo,Demons,#3733,Manga,#431
131,World Trigger 2nd Season,TV,12,8.09,"91,166",563,Action,Toei Animation,PG-13 - Teens 13 or older,Shounen,School,#1713,Manga,#432
132,Yowamushi Pedal: Grande Road,TV,24,8.09,"116,393",457,Comedy,TMS Entertainment,PG-13 - Teens 13 or older,Shounen,N/A,#1412,Manga,#433
133,Akatsuki no Yona OVA,OVA,3,8.09,"110,533",307,Action,Studio Pierrot,PG-13 - Teens 13 or older,Shoujo,N/A,#1458,Manga,#434
134,Darker than Black: Kuro no Keiyakusha,TV,25,8.09,"817,984","15,389",Action,Bones,R - 17+ (violence & profanity),N/A,Super Power,#136,Original,#435
135,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,Movie,4,8.09,"17,025",33,Action,Production I.G,R - 17+ (violence & profanity),N/A,Military,#4253,Novel,#436
136,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,Special,1,8.09,"48,992",65,Action,Sunrise,PG-13 - Teens 13 or older,Shounen,Historical,#2503,Manga,#437
137,Hajime no Ippo: Boxer no Kobushi,Special,1,8.09,"42,619",60,Comedy,Madhouse,PG-13 - Teens 13 or older,Shounen,N/A,#2682,Manga,#438
138,Hikaru no Go,TV,75,8.09,"119,276","2,096",Comedy,Studio Pierrot,PG-13 - Teens 13 or older,Shounen,Game,#1387,Manga,#439
139,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,TV,24,8.09,"881,142","15,841",Action,David Production,R - 17+ (violence & profanity),Shounen,N/A,#121,Manga,#440
140,Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,Special,1,8.09,"36,201",46,Action,Production I.G,R - 17+ (violence & profanity),Seinen,Mecha,#2940,Manga,#441
141,Kuroshitsuji: Book of Circus,TV,10,8.09,"335,783","3,166",Action,A-1 Pictures,R - 17+ (violence & profanity),Shounen,Demons,#494,Manga,#442
142,Mirai Shounen Conan,TV,26,8.09,"39,791",442,Adventure,Nippon Animation,PG-13 - Teens 13 or older,N/A,N/A,#2778,Novel,#443
143,Dennou Coil,TV,26,8.08,"127,945","1,486",Adventure,Madhouse,G - All Ages,N/A,N/A,#1320,Original,#444
144,Detective Conan Movie 08: Magician of the Silver Sky,Movie,1,8.08,"47,532",31,Adventure,TMS Entertainment,PG-13 - Teens 13 or older,Shounen,Police,#2542,Manga,#445
145,Detective Conan Movie 18: The Sniper from Another Dimension,Movie,1,8.08,"34,856",34,Action,TMS Entertainment,PG-13 - Teens 13 or older,Shounen,Police,#3003,Manga,#446
146,Dorohedoro,TV,12,8.08,"373,158","5,301",Action,MAPPA,R - 17+ (violence & profanity),Seinen,N/A,#440,Manga,#447
147,Durarara!!x2 Ketsu,TV,12,8.08,"328,811","1,042",Action,Shuka,R - 17+ (violence & profanity),N/A,N/A,#502,Light novel,#448
148,Ginga Eiyuu Densetsu Gaiden (1999),OVA,28,8.08,"17,165",28,Action,Artland,R - 17+ (violence & profanity),N/A,Military,#4235,Novel,#449
149,Gosick,TV,24,8.08,"466,725","7,374",Drama,Bones,R - 17+ (violence & profanity),N/A,Historical,#342,Light novel,#450
150,Macross: Do You Remember Love?,Movie,1,7.96,"39,431",608,Action,Artland,PG-13 - Teens 13 or older,N/A,Mecha,#2799,Original,#601
151,Tamako Love Story,Movie,1,7.96,"301,504","1,825",Comedy,Kyoto Animation,PG-13 - Teens 13 or older,N/A,N/A,#557,Original,#602
152,Trigun: Badlands Rumble,Movie,1,7.96,"119,317",218,Action,Madhouse,PG-13 - Teens 13 or older,Shounen,N/A,#1384,Manga,#603
153,Usagi Drop Specials,Special,4,7.96,"63,461",38,Slice of Life,Production I.G,PG-13 - Teens 13 or older,Josei,N/A,#2168,Manga,#604
154,Zetsuen no Tempest,TV,24,7.96,"522,474","6,135",Action,Bones,PG-13 - Teens 13 or older,Shounen,Psychological,#302,Manga,#605
155,Naruto,TV,220,7.95,"2,243,803","61,695",Action,Studio Pierrot,PG-13 - Teens 13 or older,Shounen,Martial Arts,#8,Manga,#606
156,Nekomonogatari: Kuro,TV,4,7.95,"471,163","1,075",Comedy,Shaft,R - 17+ (violence & profanity),N/A,N/A,#340,Light novel,#607
157,Non Non Biyori,TV,12,7.95,"356,790","5,252",Comedy,SILVER LINK.,PG-13 - Teens 13 or older,Seinen,School,#463,Manga,#608
158,Umibe no Étranger,Movie,1,7.95,"96,098","1,538",Boys Love,Studio Hibari,PG-13 - Teens 13 or older,N/A,N/A,#1663,Manga,#609
159,Wotaku ni Koi wa Muzukashii,TV,11,7.95,"695,929","7,696",Comedy,A-1 Pictures,PG-13 - Teens 13 or older,N/A,N/A,#181,Web manga,#610
160,Wu Shan Wu Xing,ONA,3,7.95,"34,176",228,Action,Nice Boat Animation,R - 17+ (violence & profanity),N/A,Historical,#3037,Original,#611
161,xxxHOLiC Movie: Manatsu no Yoru no Yume,Movie,1,7.95,"58,883",104,Comedy,Production I.G,PG-13 - Teens 13 or older,N/A,Psychological,#2253,Manga,#612
162,Full Metal Panic! The Second Raid,TV,13,7.95,"238,245","1,230",Action,Kyoto Animation,R - 17+ (violence & profanity),N/A,Mecha,#729,Light novel,#613
163,Girls & Panzer: Saishuushou Part 1,Movie,1,7.95,"35,358",97,Military,Actas,PG-13 - Teens 13 or older,N/A,Military,#2979,Original,#614
164,Gochuumon wa Usagi Desu ka? Bloom,TV,12,7.95,"45,455",347,Comedy,Encourage Films,PG-13 - Teens 13 or older,N/A,N/A,#2606,4-koma manga,#615
165,Kuuchuu Buranko,TV,11,7.95,"80,093","1,129",Comedy,Toei Animation,R - 17+ (violence & profanity),Seinen,Psychological,#1866,Novel,#616
166,Darker than Black: Kuro no Keiyakusha Gaiden,Special,4,7.94,"232,512",774,Action,Bones,R - 17+ (violence & profanity),N/A,Super Power,#753,Original,#617
167,Fate/Grand Order: Zettai Majuu Sensen Babylonia,TV,21,7.94,"204,250","1,887",Action,CloverWorks,PG-13 - Teens 13 or older,N/A,N/A,#855,Game,#618
168,Final Fantasy VII: Advent Children Complete,OVA,1,7.94,"120,928",707,Action,Square Enix,PG-13 - Teens 13 or older,N/A,Super Power,#1372,Game,#619
169,Full Moon wo Sagashite,TV,52,7.94,"96,621","1,627",Comedy,Studio Deen,PG-13 - Teens 13 or older,Shoujo,Music,#1646,Manga,#620
170,Haikyuu!! Movie 1: Owari to Hajimari,Movie,1,7.94,"70,906",85,Comedy,Production I.G,PG-13 - Teens 13 or older,Shounen,School,#2002,Manga,#621
171,Hidamari Sketch x Honeycomb,TV,12,7.94,"20,667",163,Comedy,Shaft,PG-13 - Teens 13 or older,Seinen,School,#3911,4-koma manga,#622
172,Mobile Suit Gundam Thunderbolt,ONA,4,7.94,"44,086",305,Action,Sunrise,R - 17+ (violence & profanity),N/A,Mecha,#2641,Manga,#623
